책장명,도서분류,책제목,작가,출판사,상세내용
1번 책장,잡지,마음도 번역이 되나요,엘라 프랜시스 샌더스,시공사,"세상에서 하나뿐인 낯설고 아름다운 52가지의 낱말. 언어를 통해 생각과 마음을 표현하지만, 가끔씩 전하려는 마음과 전해지는 마음이 일치하지 않을 때도 있고, 적당한 단어를 찾지 못해..."
1번 책장,잡지,눈이 내리면,문지욱,스윙밴드,"누구나 공감할 수 있는 따뜻함과 미소를 머금게 만드는 13편의 이야기. 여기 아무에게도 알려지지 않은 만화가가 있다. 기성 만화가의 문하생이었던 적도 없고, 웹툰을 연재해본 적도 없다..."
1번 책장,잡지,행복한 질문,오나리 유코,북극곰,한국 독자들이 애타게 기다려온 [행복한 질문]의 행복한 귀환!일본에서 40만부 이상의 판매부수를 기록하고 3년 연속 비소설 부문 베스트셀러에 올랐던 [행복한 질문]. 이 작품은 국내에도...
1번 책장,잡지,하일권 아트북,하일권,위즈덤하우스,데뷔 10주년을 맞은 하일권의 일러스트집! 《삼봉이발소》로 조회 수 2천만 건을 기록하며 웹툰 계에 혜성같이 등장한 만화가 하일권이 데뷔 10주년을 맞이하여 2006년부터 2015년 사이에...
1번 책장,잡지,천상의 비벤덤,니콜라 드 크레시,북스토리,매 페이지마다 다른 기법으로 그려진 초절 기교 만화! 앙굴렘 국제만화제에서 최우수 작품상을 수상하며 곧바로 프랑스를 대표하는 작가로 떠오른 니콜라 드 크레시의 만화 『천상의 비벤덤...
1번 책장,잡지,있잖아 누구씨,정미진,엣눈북스,당신의 누구씨는 누구입니까.누구나의 마음속에 누구씨가 산다.슬픔이나 두려움 같은 차가운 존재이기도 하고 기쁨이나 그리움 같은 따뜻한 존재이기도 하다.어떤 모습이든 우리가 살아가는...
1번 책장,만화,내 이야기. 11,아루코,대원씨아이,『내 이야기』제11권. 요즘 야마토에게 묘하게 마음이 두근두근 뛰고 마는 타케오! 골치 아픈 번뇌를 떨쳐내기 위해 금욕적인 트레이닝을 해보는데…. 야마토와 일정이 마구마구 겹치는...
1번 책장,만화,미스터 초밥왕 전국대회편. 8,테라사와 다이스케,학산문화사,이용경 KT사장이 지난달 초 간부회의에서 제기한 '초밥왕 발언'이 화제다. 미스터 초밥왕의 주인공 쇼타가 고객 입맛에 맞는 초밥을 만들기 위해 끊임없이 변화를 시도한 것처럼 KT직원들도...
1번 책장,만화,사쿠라장의 애완 그녀. 8(완결),,디앤씨미디어,"사쿠라장으로 돌아가자.전격문고 청춘 러브 코미디 감동대작코미컬라이즈, 당당하게 완결!!"
1번 책장,만화,나루토. 72(완결),키시모토 마사시,대원씨아이,"Masashi Kishimoto의 만화 『나루토』 제72권. 카구야를 봉인하는데 성공하고, 모든 국면이 종반으로 접어들고 있는 가운데, 사스케가 반기를 들었다. 양립할 수 없는 서로의 뜻을 관철..."
1번 책장,만화,후다닥 한끼,오카야 이즈미,대원씨아이,오카야 이즈미의 만화『후다닥 한끼』. 혼자 먹는 밥이 맛있어진다! 바쁜 일상 속에 잠깐의 틈새를 이용해 '후다닥' 만들어 '호로록' 먹어치우는 간편하고 맛있는 레시피들!
1번 책장,만화,드래곤 볼. 34(완전판 드래곤볼),토리야마 아키라,서울문화사,『드래곤 볼 완전판』제34권. 만화계의 전설 '드래곤 볼'이 완전판으로 복간되었다. 드래곤 볼을 찾기 위한 손오공과 그 일행의 여행을 담았다. 일본 만화 붐을 일으킨 화제작.
1번 책장,만화,보쿠걸. 6,스기토 아키라,대원씨아이,『보쿠걸』제6권. 짝사랑 상대인 후지와라의 사랑을 응원하게 된 미즈키. 그런 와중에 미즈키의 아버지가 쓰러져 모두 고향으로 문병을 가게 된다!! 그곳에서 엄격한 무도가 아버지에게 여자...
1번 책장,만화,남자고교생의 일상. 6,야마우치 야스노부,대원씨아이,"일대 무브먼트 석권 중! 한 번이라도 맛보면 중독되어버릴 수밖에 없는 걸작!!인터넷을 달구고 있는,남자고교생의 일상을 그린, 탈력계 개그 제6권짜잔 등장!스퀘어에닉스의 ‘강강 ONLINE..."
1번 책장,만화,[만화] 볼룸에 오신 것을 환영합니다,타케우치 토모,학산문화사,
1번 책장,만화,바쿠만. 20(완결),오바 츠구미,대원씨아이,"청년들,마침내 ‘꿈’이 ‘현실’이 된 순간을 목격하다!!꿈의 문턱에 발을 디딘 아시로기 무토!사이코와 아즈키에게 닥친 ‘마지막 시련’을 건너,10년 전 약속했던 두 사람의 꿈을 이뤄낼..."
1번 책장,만화,강철의 연금술사. 18(완전판),아라카와 히로무,학산문화사,Hiromu Arakawa의 만화 『강철의 연금술사』 제18권(완전판). 잃어버린 모든 것을 되찾기 위해 엘릭 형제의 여행이 시작된다! 금기로 여겨지는 인체연성을 시도한 에드워드와 알폰스 형제...
1번 책장,만화,남자의 일생. 4(완결),니시 케이코,시리얼,"츠구미와 카이에다의 결혼 생활이 시작됐다. 신혼의 단꿈에 젖을 새도 없이 결혼 중매인 맡으랴, 친분 있는 아이 돌보랴… 정신없는 나날. 과연 둘만의 달콤한 시간은 찾아올까? 어른의 순애..."
1번 책장,만화,고바야시네 메이드래곤. 2,쿨교신자,길찾기,"『고바야시네 메이드래곤』제2권. 고되고 고된 일을 끝내고 귀가하니 어느덧 밤이 되었습니다. 난방을 떼지 않아 싸늘한 방, 텅 비어있는 밥솥, 깜박 잊고 시작버튼을 누르지 않은 세탁기..."
1번 책장,만화,니체선생. 4,마츠코마,길찾기,『니체선생』제4권. 최종 면접까지 간 회사 대표가 요구하는 일 평균 수면 시간은 1시간. 그래도 채용 통지서는 날아왔다. 블랙기업이면 어?!? 사회 부적응자의 문턱에 있는 나를 구제해 준...
1번 책장,만화,이누야시키. 9,오쿠 히로야,대원씨아이,"오쿠 히로야의 『이누야시키』 제9권. 오쿠 히로야가 전하는 「GANTZ」를 뛰어넘는 신세계! 58세, 초로의 샐러리맨. 가정에서의 신뢰, 위엄, 사회적 출세, 인망…… 그 무엇 하나 가지지..."
1번 책장,만화,학교생활!. 8,카이호 노리미츠,대원씨아이,‘학교에서 살자!’삽에 대한 애정이 각별한(?) 쿠루미.모두를 아우르는 리.서글서글한 고문 메구 언니.천진난만한 무드메이커 유키.이들 학교생활부의 행복한 일상.그러나ㅡ……?!평온한...
1번 책장,만화,쿠마미코. 7,요시모토 마스메,영상출판미디어(영상노트),"지금까지의 치유계 컨트리 라이프 스토리와는 뭔가 다르다! 복슬복슬한 털이 자랑인 커다란 불곰 나츠, 그리고 세상 물정 모르는 순박한 중학생 무녀 마치가 티격태격하며 한껏 시골 생활을..."
